millis,Back Left, Back Right, Front Left, Front Right
3958, -18.90, -0.22, 0.65, 0.20
3963, -15.62, -0.34, 0.65, 0.20
3970, -15.62, -0.34, 0.65, 0.34
3975, -12.05, -0.37, 0.65, 0.34
3981, -12.05, -0.37, 0.75, 0.30
3986, -12.60, -0.33, 0.75, 0.30
3995, -12.60, -0.33, 0.93, 0.25
4001, -12.33, -0.34, 0.98, 0.30
4007, -9.59, -0.27, 0.98, 0.30
4013, -9.59, -0.27, 0.80, 0.22
4018, -8.49, -0.27, 0.80, 0.22
4023, -8.49, -0.19, 0.82, 0.22
4028, -8.49, -0.19, 0.82, 0.15
4034, -6.99, -0.03, 0.91, 0.15
4039, -6.99, -0.03, 0.91, 0.15
4044, -3.15, 0.16, 0.91, 0.15
4050, -3.15, 0.16, 0.91, 0.12
4056, -2.33, 0.41, 0.76, 0.12
4061, -2.33, 0.41, 0.76, -0.16
4067, -4.66, 0.56, 0.76, -0.16
4072, -4.66, 0.56, 0.64, -0.23
4077, -8.36, 0.64, 0.64, -0.23
4086, -9.18, 0.64, 0.79, -0.01
4092, -9.18, 0.72, 1.04, 0.05
4097, -10.14, 0.72, 1.04, 0.05
4103, -10.14, 0.75, 1.12, 0.05
4108, -13.84, 0.75, 1.12, 0.03
4113, -13.84, 0.75, 1.23, 0.03
4118, -13.84, 0.75, 1.23, -0.03
4124, -13.56, 0.90, 1.26, -0.03
4129, -13.56, 0.90, 1.26, 0.07
4135, -12.88, 0.89, 1.30, 0.07
4141, -12.88, 0.89, 1.30, 0.14
4146, -13.70, 0.89, 1.38, 0.14
4151, -13.70, 0.75, 1.38, 0.01
4157, -15.89, 0.75, 1.42, 0.01
4162, -15.89, 0.78, 1.42, -0.08
4167, -15.89, 0.78, 1.42, -0.08
4176, -14.66, 0.78, 1.36, -0.23
4183, -14.66, 0.75, 1.23, -0.46
4188, -16.85, 0.75, 1.23, -0.46
4194, -16.85, 0.59, 1.09, -0.46
4199, -19.73, 0.59, 1.09, -0.42
4204, -19.73, 0.59, 1.01, -0.42
4210, -20.96, 0.46, 1.01, -0.27
4215, -20.96, 0.46, 1.05, -0.27
4221, -19.18, 0.44, 1.05, -0.15
4227, -19.18, 0.44, 1.06, -0.15
4233, -19.45, 0.56, 1.06, -0.03
4238, -19.45, 0.56, 0.94, -0.03
4244, -22.60, 0.63, 0.94, 0.07
4249, -22.60, 0.63, 0.90, 0.07
4254, -20.55, 0.59, 0.90, 0.00
4260, -20.55, 0.59, 1.01, 0.00
4269, -17.67, 0.50, 1.01, 0.18
4274, -17.67, 0.50, 1.06, 0.30
4280, -16.03, 0.38, 1.06, 0.30
4285, -16.03, 0.38, 0.90, 0.27
4290, -16.44, 0.35, 0.90, 0.27
4295, -16.44, 0.35, 0.72, 0.27
4301, -15.48, 0.38, 0.72, 0.44
4306, -15.48, 0.38, 0.76, 0.44
4313, -12.60, 0.48, 0.76, 0.65
4318, -12.60, 0.48, 0.72, 0.65
4324, -10.14, 0.56, 0.72, 0.70
4329, -10.14, 0.56, 0.55, 0.70
4335, -8.90, 0.64, 0.55, 0.55
4340, -8.90, 0.64, 0.46, 0.55
4345, -8.49, 0.78, 0.46, 0.48
4350, -8.49, 0.78, 0.44, 0.48
4360, -9.73, 0.91, 0.44, 0.52
4365, -9.73, 0.91, 0.42, 0.52
4370, -13.56, 1.06, 0.42, 0.52
4375, -13.56, 1.06, 0.56, 0.52
4381, -18.08, 1.13, 0.56, 0.57
4386, -18.08, 1.13, 0.72, 0.57
4392, -16.16, 1.21, 0.72, 0.57
4398, -16.16, 1.21, 0.79, 0.57
4404, -13.01, 1.32, 0.79, 0.53
4409, -13.01, 1.32, 0.80, 0.53
4415, -10.00, 1.36, 0.80, 0.38
4420, -10.00, 1.36, 0.80, 0.38
4426, -9.59, 1.31, 0.80, 0.37
4431, -9.59, 1.31, 0.78, 0.37
4436, -7.26, 1.20, 0.78, 0.27
4442, -7.26, 1.20, 0.87, 0.27
4451, -2.33, 1.08, 0.90, 0.15
4456, -2.33, 1.08, 0.90, 0.23
4462, -1.51, 0.97, 0.91, 0.23
4476, -3.84, 0.94, 0.85, 0.19
4485, -4.79, 1.02, 0.83, 0.14
4490, -4.79, 1.02, 0.83, 0.11
4496, -6.30, 1.09, 0.94, 0.11
4501, -6.30, 1.09, 0.94, 0.04
4507, -9.32, 1.06, 0.94, 0.04
4512, -9.32, 1.06, 0.94, 0.04
4518, -13.15, 1.08, 0.90, 0.04
4524, -13.15, 1.08, 0.90, 0.18
4530, -18.63, 1.11, 0.95, 0.18
4535, -18.63, 1.11, 0.95, 0.25
4540, -22.88, 1.11, 1.06, 0.25
4546, -22.88, 1.00, 1.06, 0.22
4555, -27.53, 0.87, 1.05, 0.22
4560, -32.47, 0.87, 1.05, 0.14
4566, -32.47, 0.74, 1.02, 0.14
4572, -37.67, 0.74, 1.02, 0.16
4577, -37.67, 0.68, 1.04, 0.16
4582, -38.49, 0.68, 1.04, 0.18
4588, -38.49, 0.74, 0.95, 0.18
4593, -36.03, 0.74, 0.95, 0.12
4598, -36.03, 0.74, 0.83, 0.12
4604, -37.81, 0.83, 0.83, 0.15
4610, -37.81, 0.83, 0.83, 0.15
4616, -43.01, 0.86, 0.83, 0.29
4621, -43.01, 0.86, 0.93, 0.29
4627, -47.95, 0.83, 0.93, 0.38
4632, -47.95, 0.83, 1.00, 0.38
4638, -49.45, 0.76, 1.00, 0.38
4645, -49.45, 0.70, 0.94, 0.38
4652, -49.45, 0.70, 0.94, 0.38
4657, -49.45, 0.70, 0.91, 0.38
4663, -50.41, 0.72, 0.91, 0.27
4668, -50.41, 0.72, 0.89, 0.27
4674, -49.45, 0.78, 0.89, 0.29
4679, -49.45, 0.78, 0.95, 0.29
4685, -48.08, 0.71, 0.95, 0.30
4690, -48.08, 0.71, 1.04, 0.30
4697, -45.75, 0.55, 1.04, 0.38
4702, -45.75, 0.55, 0.98, 0.38
4708, -40.82, 0.46, 0.98, 0.48
4713, -40.82, 0.46, 1.00, 0.48
4719, -38.49, 0.46, 1.00, 0.46
4724, -38.49, 0.46, 1.11, 0.46
4730, -35.89, 0.35, 1.11, 0.31
4738, -35.89, 0.35, 1.27, 0.31
4744, -29.18, 0.14, 1.23, 0.22
4750, -22.05, 0.00, 1.23, 0.22
4755, -22.05, 0.00, 1.20, 0.18
4760, -15.75, 0.00, 1.20, 0.18
4766, -15.75, -0.03, 1.20, 0.29
